sms,label,llm1,llm2,llm3,llm4,llm5,llms_prediction,score
Still work going on:)it is very small house.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone,spam,spam,spam,spam,spam,spam,spam,1.0
"As usual..iam fine, happy &amp; doing well..:)",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE,not spam,spam,spam,spam,spam,spam,spam,1.0
Hello madam how are you ?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"As usual..iam fine, happy &amp; doing well..:)",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a å£250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstopå£1.50/week,spam,spam,spam,spam,spam,spam,spam,1.0
Thanks for sending this mental ability question..,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
2marrow only. Wed at  &lt;#&gt;  to 2 aha.,not spam,spam,spam,spam,not spam,spam,spam,0.8
I went to ur hon lab but no one is there.,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,not spam,spam,spam,spam,spam,spam,spam,1.0
<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,spam,spam,spam,spam,spam,spam,spam,1.0
Lol! Nah wasn't too bad thanks. Its good to b home but its been quite a reality check. Hows ur day been? Did u do anything with website?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"FREE RING TONE just text \POLYS\"" to 87131. Then every week get a new tone. 0870737910216yrs only å£1.50/wk.""",spam,spam,spam,spam,spam,spam,spam,1.0
Unni thank you dear for the recharge..Rakhesh,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"URGENT! Your mobile No 077xxx WON a å£2,000 Bonus Caller Prize on 02/06/03! This is the 2nd attempt to reach YOU! Call 09066362206 ASAP! BOX97N7QP, 150ppm",spam,spam,spam,spam,spam,spam,spam,1.0
"Sorry da thangam, very very sorry i am held up with prasad.",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",spam,spam,spam,spam,spam,spam,spam,1.0
"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing",not spam,spam,not spam,not spam,not spam,not spam,not spam,0.2
"You might want to pull out more just in case and just plan on not spending it if you can, I don't have much confidence in derek and taylor's money management",not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
Do you like shaking your booty on the dance floor?,not spam,not spam,not spam,spam,not spam,not spam,not spam,0.2
Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Its sarcasm.. .nt scarcasim,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Feel like trying kadeem again? :V,not spam,spam,not spam,not spam,not spam,not spam,not spam,0.2
Dai  &lt;#&gt;  naal eruku.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Want to finally have lunch today?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Do you know when dad will be back?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?",spam,spam,spam,spam,spam,spam,spam,1.0
8007 FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W4 5WQ norm 150p/tone 16+,spam,spam,spam,spam,spam,spam,spam,1.0
"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember.",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Why de. You looking good only:-)..,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp å£1.50/msg,spam,spam,spam,spam,spam,spam,spam,1.0
we tried to contact you re your response to our offer of a new nokia fone and camcorder hit reply or call 08000930705 for delivery,spam,spam,spam,spam,spam,spam,spam,1.0
"That's cool, I'll come by like  &lt;#&gt; ish",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Was playng 9 doors game and gt racing on phone lol,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
"New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message",spam,spam,spam,spam,spam,spam,spam,1.0
I'm okay. Chasing the dream. What's good. What are you doing next.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Yupz... I've oredi booked slots 4 my weekends liao... ,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only,spam,spam,spam,spam,spam,spam,spam,1.0
There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
"Ya ok, vikky vl c witin  &lt;#&gt; mins and il reply u..",not spam,spam,spam,spam,not spam,not spam,spam,0.6
sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p ,spam,spam,spam,spam,spam,spam,spam,1.0
"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",spam,spam,spam,spam,spam,spam,spam,1.0
Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you,not spam,spam,spam,spam,spam,spam,spam,1.0
And whenever you and i see we can still hook up too.,not spam,not spam,not spam,not spam,not spam,spam,not spam,0.2
FROM 88066 LOST å£12 HELP,spam,spam,spam,spam,spam,spam,spam,1.0
"Feb  &lt;#&gt;  is \I LOVE U\"" day. Send dis to all ur \""VALUED FRNDS\"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr""",not spam,spam,spam,spam,spam,spam,spam,1.0
"Hiya, sorry didn't hav signal. I haven't seen or heard from and neither has, which is unusual in itself! I'll put on the case and get him to sort it out! Hugs and snogs.",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Omw back to tampa from west palm, you hear what happened?",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!,spam,spam,spam,spam,spam,spam,spam,1.0
What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs,spam,spam,spam,spam,spam,spam,spam,1.0
Sorry de i went to shop.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,spam,spam,spam,spam,spam,spam,spam,1.0
Nope i'm not drivin... I neva develop da photos lei...,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
Cool. I am  &lt;#&gt;  inches long. hope you like them big!,not spam,spam,not spam,spam,spam,spam,spam,0.8
18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,spam,spam,spam,spam,spam,spam,spam,1.0
Go where n buy? Juz buy when we get there lar.,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
It's justbeen overa week since we broke up and already our brains are going to mush!,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Tunde, how are you doing. This is just wishing you a great day. Abiola.",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
No. But we'll do medical missions to nigeria,not spam,not spam,not spam,spam,not spam,not spam,not spam,0.2
No i am not having not any movies in my laptop,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Urgent Please call 09066612661 from landline. å£5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE award. 20M12AQ. 150ppm. 16+ ÛÏ,spam,spam,spam,spam,spam,spam,spam,1.0
"Urgent! Please call 09066612661 from your landline, your complimentary 4* Lux Costa Del Sol holiday or å£1000 CASH await collection. ppm 150 SAE T&Cs James 28, EH74RR",spam,spam,spam,spam,spam,spam,spam,1.0
Do Ì_ noe if ben is going?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Can you do a mag meeting this avo at some point?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Really? I crashed out cuddled on my sofa.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Are you this much buzy,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,spam,spam,spam,spam,spam,spam,spam,1.0
No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Play w computer? Aiyah i tok 2 u lor?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Sat right? Okay thanks... ,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Derp. Which is worse, a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Ok Chinese food on its way. When I get fat you're paying for my lipo.,not spam,spam,spam,spam,spam,not spam,spam,0.8
What time. IÛ÷m out until prob 3 or so,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
I am not sure about night menu. . . I know only about noon menu,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
 and  picking them up from various points,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX,spam,spam,spam,spam,spam,spam,spam,1.0
I am on the way to ur home,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner,spam,spam,spam,spam,spam,spam,spam,1.0
No problem. Talk to you later,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Still in customer place,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?,spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk.",spam,spam,spam,spam,spam,spam,spam,1.0
Long after I quit. I get on only like 5 minutes a day as it is.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Just arrived, see you in a couple days &lt;3",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
UÛªve Bin Awarded å£50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min å£50-å£500. OptOut 08718727870,spam,spam,spam,spam,spam,spam,spam,1.0
Not from this campus. Are you in the library?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
If I get there before you after your ten billion calls and texts so help me god,not spam,not spam,spam,spam,not spam,not spam,not spam,0.4
FreeMsg>FAV XMAS TONES!Reply REAL,spam,spam,spam,spam,spam,spam,spam,1.0
December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 ,spam,spam,spam,spam,spam,spam,spam,1.0
Yes princess! I want to catch you with my big strong hands...,not spam,spam,spam,spam,spam,spam,spam,1.0
Thinkin about someone is all good. No drugs for that,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly..",not spam,spam,spam,spam,spam,not spam,spam,0.8
"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p",spam,spam,spam,spam,spam,spam,spam,1.0
Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
INTERFLORA - åÒIt's not too late to order Interflora flowers for christmas call 0800 505060 to place your order before Midnight tomorrow.,spam,spam,spam,spam,spam,spam,spam,1.0
ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,spam,spam,spam,spam,not spam,spam,spam,0.8
"Congratulations - Thanks to a good friend U have WON the å£2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate",spam,spam,spam,spam,spam,spam,spam,1.0
Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p.,spam,spam,spam,spam,spam,spam,spam,1.0
Howz that persons story,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Thanx 4 sending me home...,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"You've won tkts to the EURO2004 CUP FINAL or å£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",spam,spam,spam,spam,spam,spam,spam,1.0
U sick still can go shopping?,not spam,not spam,not spam,not spam,spam,not spam,not spam,0.2
"Ya they are well and fine., BBD(pooja) full pimples..even she become quite black..and ur rite here its too cold, wearing sweatter..",not spam,spam,spam,not spam,not spam,not spam,not spam,0.4
Were trying to find a Chinese food place around here,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Easy mate, * guess the quick drink was bit ambitious.",not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
Will be out of class in a few hours. Sorry,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Wat time u finish ur lect today?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply",spam,spam,spam,spam,spam,spam,spam,1.0
"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call",spam,spam,spam,spam,spam,spam,spam,1.0
I doubt you could handle 5 times per night in any case...,not spam,spam,not spam,spam,not spam,spam,spam,0.6
"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",not spam,spam,not spam,not spam,not spam,not spam,not spam,0.2
"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",not spam,not spam,spam,spam,not spam,not spam,not spam,0.4
I am not at all happy with what you saying or doing,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Adult 18 Content Your video will be with you shortly,spam,spam,spam,spam,spam,spam,spam,1.0
"Ok that would b lovely, if u r sure. Think about wot u want to do, drinkin, dancin, eatin, cinema, in, out, about... Up to u! Wot about ? ",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
What I'm saying is if you haven't explicitly told nora I know someone I'm probably just not gonna bother,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Smith waste da.i wanna gayle.,not spam,not spam,spam,spam,spam,not spam,spam,0.6
"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",not spam,spam,spam,spam,spam,not spam,spam,0.8
"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call.",spam,spam,spam,spam,spam,spam,spam,1.0
See you there! ,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Fuck cedar key and fuck her (come over anyway tho),not spam,spam,spam,spam,not spam,not spam,spam,0.6
"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX",spam,spam,spam,spam,spam,spam,spam,1.0
"Last Chance! Claim ur å£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Sub. 16",spam,spam,spam,spam,spam,spam,spam,1.0
Printer is cool. I mean groovy. Wine is groovying,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Anything lor is she coming?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
No probs hon! How u doinat the mo?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL",spam,spam,spam,spam,spam,spam,spam,1.0
"Aight, I should be there by 8 at the latest, probably closer to 7. Are jay and tyler down or should we just do two trips?",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,spam,spam,spam,spam,spam,spam,spam,1.0
Tell me pa. How is pain de.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only,spam,spam,spam,spam,spam,spam,spam,1.0
Kindly send some one to our flat before  &lt;DECIMAL&gt;  today.,not spam,spam,not spam,spam,spam,not spam,spam,0.6
Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info,spam,spam,spam,spam,spam,spam,spam,1.0
Nothing lor... A bit bored too... Then y dun u go home early 2 sleep today...,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
What time should I tell my friend to be around?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Yes. that will be fine. Love you. Be safe.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Yo, any way we could pick something up tonight?",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Im done. Just studyn in library,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Anything...,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Hi' Test on  &lt;#&gt; rd ....,not spam,not spam,not spam,spam,not spam,not spam,not spam,0.2
"Yeah, we got one lined up for us",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Lol yep did that yesterday. Already got my fireplace. Now its just another icon sitting there for me.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Hey i've booked the pilates and yoga lesson already... Haha,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Are you ok. What happen to behave like this,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
You have 1 new message. Please call 08712400200.,spam,spam,spam,spam,spam,spam,spam,1.0
My supervisor find 4 me one lor i thk his students. I havent ask her yet. Tell u aft i ask her.,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
"Hello. No news on job, they are making me wait a fifth week! Yeah im up for some woozles and weasels... In exeter still, but be home about 3. ",not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
We currently have a message awaiting your collection. To collect your message just call 08718723815.,spam,spam,spam,spam,spam,spam,spam,1.0
Leave it. U will always be ignorant.,not spam,spam,spam,not spam,not spam,not spam,not spam,0.4
at bruce b downs &amp; fletcher now,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"URGENT! Your mobile was awarded a å£1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011",spam,spam,spam,spam,spam,spam,spam,1.0
U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,spam,spam,spam,spam,spam,spam,spam,1.0
"\NONE!NOWHERE IKNO DOESDISCOUNT!SHITINNIT\""""",not spam,spam,spam,spam,spam,spam,spam,1.0
"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Not yet had..ya sapna aunty manege y'day hogidhe..chinnu full weak and swalpa black agidhane..,not spam,spam,spam,not spam,spam,not spam,spam,0.6
"Are you being good, baby? :)",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Sary just need Tim in the bollox &it hurt him a lot so he tol me!,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Don't worry, * is easy once have ingredients!",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Ok omw now, you at castor?",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?,not spam,spam,not spam,not spam,not spam,not spam,not spam,0.2
"Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth or DVD! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/4QF2",spam,spam,spam,spam,spam,spam,spam,1.0
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",not spam,spam,spam,spam,spam,not spam,spam,0.8
"He said that he had a right giggle when he saw u again! You would possibly be the first person2die from NVQ, but think how much you could for! ",not spam,spam,spam,spam,spam,not spam,spam,0.8
No break time one... How... I come out n get my stuff fr Ì_?,not spam,spam,spam,not spam,not spam,not spam,not spam,0.4
Reply to win å£100 weekly! What professional sport does Tiger Woods play? Send STOP to 87239 to end service,spam,spam,spam,spam,spam,spam,spam,1.0
Do you still have the grinder?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,spam,spam,spam,spam,spam,spam,spam,1.0
"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam,spam,spam,spam,spam,spam,spam,1.0
"No idea, I guess we'll work that out an hour after we're supposed to leave since as usual nobody has any interest in figuring shit out before the last second",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Don know..he is watching film in computer..,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
No b4 Thursday,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Oh, then your phone phoned me but it disconnected",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Id onluy matters when getting on from offcampus,not spam,not spam,not spam,spam,not spam,not spam,not spam,0.2
This message is free. Welcome to the new & improved Sex & Dogging club! To unsubscribe from this service reply STOP. msgs@150p 18+only,spam,spam,spam,spam,spam,spam,spam,1.0
I will see in half an hour,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"You've won tkts to the EURO2004 CUP FINAL or å£800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",spam,spam,spam,spam,spam,spam,spam,1.0
Also hi wesley how've you been,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",spam,spam,spam,spam,spam,spam,spam,1.0
Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q,spam,spam,spam,spam,spam,spam,spam,1.0
"Hm good morning, headache anyone? :-)",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free,spam,spam,spam,spam,spam,spam,spam,1.0
I might go 2 sch. Yar at e salon now v boring.,not spam,not spam,spam,not spam,not spam,not spam,not spam,0.2
One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
I didn't get the second half of that message,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Wat time do u wan 2 meet me later?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Am in film ill call you later.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
You are a very very very very bad girl. Or lady.,not spam,not spam,not spam,spam,not spam,not spam,not spam,0.2
I love ya too but try and budget your money better babe. Gary would freak on me if he knew,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"What part of \don't initiate\"" don't you understand""",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
I finished my lunch already. U wake up already?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
You still at the game?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
What is your record for one night? :),not spam,not spam,not spam,not spam,not spam,spam,not spam,0.2
 gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number. ,not spam,spam,spam,not spam,spam,not spam,spam,0.6
Get ready for  &lt;#&gt;  inches of pleasure...,not spam,spam,spam,spam,spam,spam,spam,1.0
Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
You are not bothering me but you have to trust my answers. Pls.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Aight what time you want me to come up?,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Hello, yeah i've just got out of the bath and need to do my hair so i'll come up when i'm done, yeah?",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
"Awesome question with a cute answer: Someone asked a boy \how is ur life?\"" . . He smiled &amp; answered: . . \""She is fine!\"" Gudnite""",not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Please leave this topic..sorry for telling that..,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN å£100 Cash WKENT/150P16+,spam,spam,spam,spam,spam,spam,spam,1.0
Webpage s not available!,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.,spam,spam,spam,spam,spam,spam,spam,1.0
What u talking bout early morning? It's almost noon where your at!,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
Fine. Do you remember me.,not spam,not spam,not spam,not spam,not spam,not spam,not spam,0.0
